Frequency,Angle,Length,Velocity,Thickness,Noise
10000,4.2,0.0508,71.3,0.00142788,121.238
2000,0.0,0.1524,39.6,0.00193287,129.63299999999998
6300,3.0,0.3048,31.7,0.00529514,109.71799999999999
2500,0.0,0.0254,71.3,0.00040068199999999997,133.707
4000,11.2,0.0508,71.3,0.014072,122.471
6300,7.2,0.1524,39.6,0.00909175,112.68799999999999
1600,9.9,0.1524,31.7,0.0252785,117.119
500,5.4,0.1524,39.6,0.00485029,129.937
500,12.3,0.1016,55.5,0.0368233,133.774
1250,0.0,0.3048,55.5,0.00283081,126.086
400,3.0,0.3048,39.6,0.00495741,125.47200000000001
2000,15.4,0.0508,31.7,0.028985300000000002,120.835
16000,0.0,0.0254,55.5,0.00041229,125.68299999999999
6300,12.3,0.1016,31.7,0.0418756,107.26700000000001
2500,0.0,0.2286,71.3,0.00214345,128.35399999999998
2500,12.7,0.0254,39.6,0.013025299999999998,129.02700000000002
16000,0.0,0.0254,39.6,0.00042846400000000004,124.986
1600,12.3,0.1016,31.7,0.0418756,114.477
630,0.0,0.1016,55.5,0.00131983,126.17
4000,7.2,0.1524,71.3,0.00752039,119.34299999999999
1250,4.0,0.3048,39.6,0.00579636,126.34299999999999
1000,4.0,0.2286,71.3,0.00400603,131.708
10000,0.0,0.1524,39.6,0.00193287,115.413
800,3.3,0.1016,71.3,0.00202822,131.07399999999998
2000,3.3,0.1016,39.6,0.00245138,132.30100000000002
630,0.0,0.1016,71.3,0.00121072,124.155
3150,2.7,0.1524,71.3,0.00243851,127.054
630,9.5,0.0254,55.5,0.0043284,125.45200000000001
4000,0.0,0.1524,55.5,0.00172668,127.23299999999999
400,4.0,0.3048,71.3,0.00497773,129.575
250,17.4,0.0254,31.7,0.017663099999999998,116.956
1000,0.0,0.3048,55.5,0.00283081,126.96600000000001
1250,9.5,0.0254,55.5,0.0043284,132.202
1600,5.4,0.1524,71.3,0.00401199,133.241
5000,9.9,0.1524,55.5,0.0208438,112.065
500,22.2,0.0254,39.6,0.022902799999999997,129.776
2500,4.8,0.0254,55.5,0.000873218,129.144
2000,0.0,0.1016,55.5,0.00131983,132.54
3150,19.7,0.0508,39.6,0.036483999999999996,113.00399999999999
1250,12.3,0.1016,55.5,0.0368233,124.214
6300,2.0,0.2286,39.6,0.00346574,116.417
800,8.4,0.0508,71.3,0.00529514,127.556
4000,0.0,0.2286,39.6,0.00253511,123.465
10000,0.0,0.3048,55.5,0.00283081,113.07600000000001
200,7.3,0.2286,31.7,0.0132672,128.679
5000,15.6,0.1016,39.6,0.0528487,106.22399999999999
400,0.0,0.2286,31.7,0.0027238,123.635
1600,0.0,0.3048,39.6,0.00310138,124.04899999999999
12500,0.0,0.0508,55.5,0.00076193,125.376
800,4.8,0.0254,31.7,0.0009307889999999999,122.648
800,0.0,0.1524,55.5,0.00172668,126.713
630,0.0,0.1016,31.7,0.00150092,126.413
315,15.6,0.1016,71.3,0.0437259,133.808
2500,9.9,0.1524,31.7,0.0252785,114.729
500,8.9,0.1016,71.3,0.0103088,138.523
2500,9.9,0.1524,71.3,0.019300099999999997,119.639
1600,3.3,0.1016,71.3,0.00202822,133.664
2500,22.2,0.0254,71.3,0.0214178,126.09700000000001
3150,17.4,0.0254,71.3,0.016104,126.536
12500,0.0,0.1016,71.3,0.00121072,119.375
1600,6.7,0.1016,39.6,0.00578076,127.375
1600,8.4,0.0508,71.3,0.00529514,133.846
800,4.0,0.3048,71.3,0.00497773,131.755
1600,19.7,0.0508,39.6,0.036483999999999996,117.604
1000,17.4,0.0254,39.6,0.0172206,138.274
800,8.4,0.0508,39.6,0.00566229,128.435
2000,0.0,0.1016,39.6,0.00146332,133.251
1600,15.4,0.0508,71.3,0.0264269,130.065
3150,15.4,0.0508,39.6,0.0282593,120.51299999999999
4000,3.0,0.3048,31.7,0.00529514,115.60799999999999
2000,6.7,0.1016,31.7,0.00592927,120.446
8000,0.0,0.1524,31.7,0.00209405,117.95700000000001
1000,12.7,0.0254,39.6,0.013025299999999998,130.947
2500,0.0,0.1016,55.5,0.00131983,133.04
2000,3.0,0.3048,71.3,0.00425727,125.524
1000,5.4,0.1524,31.7,0.00525474,128.241
10000,3.3,0.1016,39.6,0.00245138,115.321
6300,12.7,0.0254,39.6,0.013025299999999998,123.177
800,0.0,0.3048,31.7,0.00331266,129.235
3150,3.0,0.3048,31.7,0.00529514,118.10799999999999
5000,7.3,0.2286,71.3,0.010440399999999999,115.29799999999999
200,12.3,0.1016,31.7,0.0418756,124.98700000000001
1600,0.0,0.2286,55.5,0.00229336,126.79
2500,12.3,0.1016,71.3,0.033779199999999995,121.318
2500,12.7,0.0254,71.3,0.012180799999999999,134.058
6300,0.0,0.3048,71.3,0.00266337,119.541
12500,4.8,0.0254,71.3,0.000848633,127.68799999999999
1000,6.7,0.1016,71.3,0.00478288,136.75799999999998
1600,9.5,0.0254,71.3,0.00420654,133.756
6300,7.3,0.2286,31.7,0.0132672,110.689
5000,2.0,0.2286,71.3,0.00293031,122.816
2500,15.4,0.0508,55.5,0.0271925,125.63
2000,3.3,0.1016,55.5,0.002211,133.649
3150,15.4,0.0508,71.3,0.0264269,125.715
1000,12.3,0.1016,71.3,0.033779199999999995,127.928
4000,7.2,0.1524,39.6,0.00909175,114.258
315,4.0,0.2286,31.7,0.00509068,123.609
4000,0.0,0.1016,31.7,0.00150092,126.93299999999999
1250,2.0,0.2286,55.5,0.00313525,128.762
2500,3.0,0.3048,31.7,0.00529514,119.598
1600,0.0,0.1524,55.5,0.00172668,130.183
3150,9.9,0.1524,71.3,0.019300099999999997,116.84899999999999
200,15.6,0.1016,39.6,0.0528487,123.514
500,12.3,0.1016,71.3,0.033779199999999995,140.158
4000,5.4,0.1524,71.3,0.00401199,121.431
2500,15.4,0.0508,31.7,0.028985300000000002,119.945
1600,0.0,0.1524,39.6,0.00193287,131.013
2500,6.7,0.1016,55.5,0.0052139,124.273
1250,17.4,0.0254,55.5,0.016570599999999998,129.30100000000002
1000,3.0,0.3048,31.7,0.00529514,126.838
4000,7.3,0.2286,71.3,0.010440399999999999,119.208
1000,19.7,0.0508,39.6,0.036483999999999996,118.904
6300,8.9,0.1016,39.6,0.012459600000000001,113.11
6300,9.9,0.1524,55.5,0.0208438,110.555
8000,0.0,0.1524,71.3,0.0015988,122.527
5000,4.0,0.3048,39.6,0.00579636,113.73299999999999
250,17.4,0.0254,71.3,0.016104,113.796
200,22.2,0.0254,39.6,0.022902799999999997,116.066
6300,7.2,0.1524,71.3,0.00752039,116.603
500,3.0,0.3048,31.7,0.00529514,127.54799999999999
1000,0.0,0.0508,39.6,0.000791822,127.63799999999999
20000,0.0,0.0254,55.5,0.00041229,121.93299999999999
12500,0.0,0.2286,71.3,0.00214345,117.624
6300,15.4,0.0508,71.3,0.0264269,115.215
2500,2.0,0.2286,39.6,0.00346574,121.397
2500,2.0,0.2286,31.7,0.00372371,121.40700000000001
2000,6.7,0.1016,39.6,0.00578076,122.235
2500,7.3,0.2286,71.3,0.010440399999999999,122.088
5000,3.0,0.3048,55.5,0.00452492,117.309
4000,17.4,0.0254,31.7,0.017663099999999998,121.99600000000001
500,0.0,0.2286,55.5,0.00229336,123.78
1600,8.4,0.0508,31.7,0.00580776,129.296
1000,2.0,0.2286,71.3,0.00293031,128.95600000000002
200,12.3,0.1016,55.5,0.0368233,132.304
315,12.3,0.1016,71.3,0.033779199999999995,137.06799999999998
1000,17.4,0.0254,71.3,0.016104,125.816
2500,5.3,0.2286,39.6,0.00614329,116.15100000000001
2500,3.3,0.1016,39.6,0.00245138,130.791
200,11.2,0.0508,39.6,0.015047799999999998,125.01
1000,0.0,0.2286,39.6,0.00253511,130.435
4000,9.9,0.1524,71.3,0.019300099999999997,115.079
1250,0.0,0.3048,71.3,0.00266337,125.95100000000001
500,3.0,0.3048,55.5,0.00452492,128.179
800,12.6,0.1524,71.3,0.0483159,123.054
1600,12.3,0.1016,55.5,0.0368233,121.824
500,19.7,0.0508,39.6,0.036483999999999996,128.444
800,3.3,0.1016,39.6,0.00245138,129.991
8000,0.0,0.1016,31.7,0.00150092,120.193
1250,6.7,0.1016,55.5,0.0052139,136.88299999999998
500,7.3,0.2286,31.7,0.0132672,128.16899999999998
1250,12.7,0.0254,39.6,0.013025299999999998,130.77700000000002
1250,0.0,0.1016,55.5,0.00131983,131.43
400,9.9,0.1524,39.6,0.0233328,128.345
1600,6.7,0.1016,31.7,0.00592927,124.346
1600,0.0,0.1016,55.5,0.00131983,132.05
1000,3.3,0.1016,31.7,0.00251435,133.012
630,4.0,0.2286,55.5,0.0042861999999999996,129.964
500,9.9,0.1524,55.5,0.0208438,127.815
250,12.6,0.1524,39.6,0.058411300000000006,115.89
1000,0.0,0.1016,31.7,0.00150092,131.313
2500,0.0,0.0254,55.5,0.00041229,130.07299999999998
10000,7.2,0.1524,39.6,0.00909175,110.868
500,9.9,0.1524,71.3,0.019300099999999997,131.279
800,3.3,0.1016,55.5,0.002211,129.119
5000,0.0,0.1016,71.3,0.00121072,130.795
1000,12.3,0.1016,31.7,0.0418756,119.777
800,0.0,0.1016,55.5,0.00131983,127.92
1600,8.9,0.1016,71.3,0.0103088,128.763
8000,4.2,0.0508,39.6,0.00152689,120.397
250,9.9,0.1524,55.5,0.0208438,133.235
8000,4.8,0.0254,71.3,0.000848633,131.518
800,5.4,0.1524,55.5,0.00433288,133.097
630,9.9,0.1524,31.7,0.0252785,126.04899999999999
3150,5.4,0.1524,39.6,0.00485029,119.137
4000,9.5,0.0254,31.7,0.00461377,126.736
12500,0.0,0.1016,55.5,0.00131983,119.91
500,17.4,0.0254,39.6,0.0172206,117.514
16000,2.7,0.1524,71.3,0.00243851,110.36399999999999
1250,9.5,0.0254,71.3,0.00420654,131.656
400,5.4,0.1524,71.3,0.00401199,124.12100000000001
200,17.4,0.0254,31.7,0.017663099999999998,116.146
10000,0.0,0.0508,55.5,0.00076193,127.63600000000001
3150,8.9,0.1016,71.3,0.0103088,123.26299999999999
630,0.0,0.1524,39.6,0.00193287,124.40299999999999
12500,1.5,0.3048,39.6,0.00392107,106.111
3150,4.8,0.0254,55.5,0.000873218,132.35399999999998
4000,5.4,0.1524,55.5,0.00433288,119.73700000000001
8000,0.0,0.1016,55.5,0.00131983,124.45
2500,0.0,0.0508,55.5,0.00076193,133.95600000000002
1600,11.2,0.0508,39.6,0.015047799999999998,126.54
800,15.4,0.0508,55.5,0.0271925,130.43
4000,4.8,0.0254,39.6,0.000907475,134.996
1250,0.0,0.2286,55.5,0.00229336,127.91
400,7.3,0.2286,71.3,0.010440399999999999,139.438
6300,4.2,0.0508,39.6,0.00152689,125.71700000000001
315,15.4,0.0508,71.3,0.0264269,126.195
1250,7.3,0.2286,71.3,0.010440399999999999,127.35799999999999
1600,0.0,0.0508,31.7,0.000812164,131.01
315,8.9,0.1016,71.3,0.0103088,136.583
1000,0.0,0.1016,71.3,0.00121072,128.825
20000,4.8,0.0254,55.5,0.000873218,121.28399999999999
5000,9.9,0.1524,71.3,0.019300099999999997,114.569
315,7.2,0.1524,39.6,0.00909175,130.558
4000,19.7,0.0508,39.6,0.036483999999999996,108.684
1000,0.0,0.0508,71.3,0.000740478,129.45
1000,9.9,0.1524,31.7,0.0252785,122.149
630,3.0,0.3048,71.3,0.00425727,129.35399999999998
4000,8.4,0.0508,71.3,0.00529514,126.926
250,7.3,0.2286,55.5,0.011170600000000001,136.384
1600,0.0,0.1524,31.7,0.00209405,130.817
1000,9.5,0.0254,55.5,0.0043284,130.332
630,9.5,0.0254,71.3,0.00420654,125.726
3150,15.4,0.0508,31.7,0.028985300000000002,118.045
3150,4.2,0.0508,71.3,0.00142788,133.72799999999998
315,0.0,0.2286,55.5,0.00229336,119.54
2000,3.0,0.3048,39.6,0.00495741,120.53200000000001
3150,4.8,0.0254,31.7,0.0009307889999999999,134.268
3150,0.0,0.3048,39.6,0.00310138,120.319
1600,4.8,0.0254,55.5,0.000873218,121.47399999999999
500,0.0,0.2286,31.7,0.0027238,126.675
630,5.3,0.2286,39.6,0.00614329,132.011
800,2.0,0.2286,31.7,0.00372371,130.30700000000002
4000,7.3,0.2286,55.5,0.011170600000000001,117.28399999999999
315,7.3,0.2286,71.3,0.010440399999999999,139.808
4000,5.4,0.1524,31.7,0.00525474,116.181
8000,17.4,0.0254,71.3,0.016104,115.46600000000001
800,9.5,0.0254,39.6,0.00449821,129.014
400,9.9,0.1524,55.5,0.0208438,131.605
800,17.4,0.0254,71.3,0.016104,124.27600000000001
315,6.7,0.1016,31.7,0.00592927,126.266
6300,2.7,0.1524,71.3,0.00243851,121.944
10000,0.0,0.3048,31.7,0.00331266,108.265
630,0.0,0.3048,55.5,0.00283081,127.696
250,17.4,0.0254,39.6,0.0172206,114.714
4000,9.5,0.0254,71.3,0.00420654,134.236
4000,0.0,0.1524,39.6,0.00193287,125.34299999999999
800,5.3,0.2286,39.6,0.00614329,129.491
1250,0.0,0.2286,71.3,0.00214345,128.144
800,0.0,0.0508,31.7,0.000812164,122.79
500,0.0,0.2286,39.6,0.00253511,126.195
3150,4.2,0.0508,39.6,0.00152689,133.58700000000002
3150,9.5,0.0254,55.5,0.0043284,133.252
2000,15.4,0.0508,71.3,0.0264269,129.285
2000,4.0,0.2286,39.6,0.00473801,121.65899999999999
2500,12.6,0.1524,39.6,0.058411300000000006,106.88
4000,2.0,0.2286,31.7,0.00372371,120.527
20000,4.8,0.0254,71.3,0.000848633,119.708
4000,0.0,0.1016,39.6,0.00146332,127.801
1250,0.0,0.1524,71.3,0.0015988,128.92700000000002
3150,15.6,0.1016,39.6,0.0528487,109.25399999999999
3150,8.4,0.0508,55.5,0.00544854,128.40200000000002
6300,2.0,0.2286,55.5,0.00313525,118.712
1600,0.0,0.0254,31.7,0.000439472,129.267
400,0.0,0.2286,55.5,0.00229336,121.66
1000,4.0,0.3048,71.3,0.00497773,131.015
2500,0.0,0.0508,71.3,0.000740478,131.31
3150,7.3,0.2286,71.3,0.010440399999999999,120.458
2000,12.6,0.1524,71.3,0.0483159,117.50399999999999
250,12.7,0.0254,39.6,0.013025299999999998,121.54700000000001
6300,5.4,0.1524,55.5,0.00433288,117.287
630,12.3,0.1016,71.3,0.033779199999999995,135.368
4000,4.8,0.0254,55.5,0.000873218,133.924
10000,4.8,0.0254,55.5,0.000873218,126.944
400,12.3,0.1016,71.3,0.033779199999999995,139.428
1250,9.5,0.0254,31.7,0.00461377,131.446
1000,0.0,0.2286,55.5,0.00229336,128.29
800,0.0,0.3048,39.6,0.00310138,129.099
12500,0.0,0.0508,31.7,0.000812164,119.07
6300,0.0,0.1524,31.7,0.00209405,119.73700000000001
630,15.6,0.1016,71.3,0.0437259,122.288
5000,8.9,0.1016,71.3,0.0103088,116.723
5000,1.5,0.3048,39.6,0.00392107,116.241
1000,6.7,0.1016,39.6,0.00578076,134.515
3150,15.4,0.0508,55.5,0.0271925,123.46
5000,5.4,0.1524,55.5,0.00433288,118.757
500,6.7,0.1016,31.7,0.00592927,130.20600000000002
1600,4.2,0.0508,71.3,0.00142788,124.318
6300,0.0,0.2286,31.7,0.0027238,116.815
500,0.0,0.3048,55.5,0.00283081,126.416
400,4.0,0.2286,55.5,0.0042861999999999996,123.274
1000,7.2,0.1524,71.3,0.00752039,134.273
5000,5.3,0.2286,39.6,0.00614329,115.311
2000,3.3,0.1016,71.3,0.00202822,134.034
3150,4.0,0.3048,71.3,0.00497773,121.775
200,11.2,0.0508,71.3,0.014072,125.941
2500,0.0,0.3048,55.5,0.00283081,124.10600000000001
315,9.9,0.1524,55.5,0.0208438,132.355
1250,17.4,0.0254,71.3,0.016104,126.35600000000001
630,8.4,0.0508,31.7,0.00580776,125.85600000000001
630,0.0,0.1016,39.6,0.00146332,125.40100000000001
3150,5.4,0.1524,55.5,0.00433288,121.587
800,12.3,0.1016,31.7,0.0418756,120.037
2000,9.9,0.1524,31.7,0.0252785,116.859
2000,19.7,0.0508,39.6,0.036483999999999996,117.72399999999999
2000,0.0,0.2286,71.3,0.00214345,128.244
5000,0.0,0.0254,55.5,0.00041229,135.803
1000,12.6,0.1524,71.3,0.0483159,122.044
630,2.7,0.1524,71.3,0.00243851,127.404
315,9.5,0.0254,39.6,0.00449821,119.294
2500,0.0,0.1524,55.5,0.00172668,127.76299999999999
315,11.2,0.0508,39.6,0.015047799999999998,128.99
8000,0.0,0.0508,55.5,0.00076193,130.156
4000,2.0,0.2286,71.3,0.00293031,124.086
3150,0.0,0.3048,55.5,0.00283081,123.236
2500,3.3,0.1016,31.7,0.00251435,130.392
3150,0.0,0.1524,71.3,0.0015988,129.377
630,17.4,0.0254,39.6,0.0172206,124.514
1250,2.0,0.2286,39.6,0.00346574,128.257
1250,19.7,0.0508,39.6,0.036483999999999996,118.634
1250,22.2,0.0254,71.3,0.0214178,140.987
3150,5.3,0.2286,39.6,0.00614329,118.441
5000,8.4,0.0508,71.3,0.00529514,121.146
4000,12.3,0.1016,55.5,0.0368233,114.404
8000,4.0,0.2286,39.6,0.00473801,113.12899999999999
3150,0.0,0.0508,31.7,0.000812164,135.49
800,3.3,0.1016,31.7,0.00251435,131.362
800,3.0,0.3048,39.6,0.00495741,129.55200000000002
400,15.4,0.0508,71.3,0.0264269,126.805
3150,12.7,0.0254,71.3,0.012180799999999999,133.75799999999998
500,8.9,0.1016,39.6,0.012459600000000001,133.79
2000,1.5,0.3048,39.6,0.00392107,122.101
2000,15.6,0.1016,71.3,0.0437259,119.88799999999999
400,4.0,0.2286,39.6,0.00473801,123.87899999999999
5000,22.2,0.0254,39.6,0.022902799999999997,118.816
16000,0.0,0.1524,71.3,0.0015988,113.29700000000001
4000,3.0,0.3048,55.5,0.00452492,118.689
630,4.8,0.0254,31.7,0.0009307889999999999,120.07799999999999
6300,9.5,0.0254,39.6,0.00449821,120.324
315,12.7,0.0254,39.6,0.013025299999999998,123.537
1000,3.3,0.1016,71.3,0.00202822,131.434
800,11.2,0.0508,39.6,0.015047799999999998,133.79
400,12.3,0.1016,31.7,0.0418756,123.20700000000001
6300,12.7,0.0254,71.3,0.012180799999999999,125.398
